frame.number,frame.protocols,frame.len,frame.packet_flags,frame.time,frame.time_relative,eth.src,eth.dst,ip.src,ip.dst,ip.version,ip.proto,ip.ttl,ip.hdr_len,ip.len,ip.id,ip.flags,ip.frag_offset,ip.checksum,tcp.seq,tcp.ack,tcp.srcport,tcp.dstport,tcp.hdr_len,tcp.len,tcp.flags,tcp.options.timestamp.tsval,tcp.options.timestamp.tsecr,tcp.checksum,tcp.window_size_value,http.request.version
"1","eth:ethertype:ip:udp:data","241",,"May 29, 2018 14:28:52.226667066 MDT","0.000000000","a0:91:69:ff:fb:44","50:c7:bf:ed:0c:61","192.168.42.16","192.168.42.12","4","17","64","20","227","0x0000805d","0x00004000","0","0x0000e43f",,,,,,,,,,,,
"2","eth:ethertype:ip:udp:data","211",,"May 29, 2018 14:28:52.229573234 MDT","0.002906168","50:c7:bf:ed:0c:61","a0:91:69:ff:fb:44","192.168.42.12","192.168.42.16","4","17","64","20","197","0x00000388","0x00000000","0","0x0000a133",,,,,,,,,,,,
